ssbid_5000m,pop_tot,pop_mal,pop_fem,pop_ave2,geom_wkt
20550006450000,647,328,319,41.2,"MULTIPOLYGON(((7.468741068492247 57.968023542197926,7.459336543630983 58.01254577928637,7.543237091522114 58.017516987818,7.552539360942586 57.97298620923243,7.468741068492247 57.968023542197926)))"
20600006450000,267,132,135,40.5,"MULTIPOLYGON(((7.552539360942586 57.97298620923243,7.543237091522114 58.017516987818,7.62716530687252 58.022433139216076,7.636365207451433 57.97789391140458,7.552539360942586 57.97298620923243)))"
20650006450000,30,19,11,37.1,"MULTIPOLYGON(((7.636365207451433 57.97789391140458,7.62716530687252 58.022433139216076,7.711120893951993 58.02729419601835,7.720218313448446 57.98274661139332,7.636365207451433 57.97789391140458)))"
20250006455000,114,62,52,50.2,"MULTIPOLYGON(((6.956530753989718 57.981564476031835,6.946485422533664 58.02603212189646,7.030315633032766 58.03134197876644,7.040259122354907 57.986865218514616,6.956530753989718 57.981564476031835)))"
20300006455000,107,58,49,47,"MULTIPOLYGON(((7.040259122354907 57.986865218514616,7.030315633032766 58.03134197876644,7.114175392915725 58.03659691996527,7.124016919171879 57.99211113693188,7.040259122354907 57.986865218514616)))"
20400006455000,86,49,37,50.9,"MULTIPOLYGON(((7.207803852565544 57.99730219145673,7.198064409167948 58.04179690551575,7.281982388112998 58.04694189583364,7.291619630003467 58.002438342653754,7.207803852565544 57.99730219145673)))"
20450006455000,204,106,98,42,"MULTIPOLYGON(((7.291619630003467 58.002438342653754,7.281982388112998 58.04694189583364,7.365929035418526 58.05203185172856,7.37546395830176 58.00751955148006,7.291619630003467 58.002438342653754)))"
20500006455000,7016,3469,3547,42.6,"MULTIPOLYGON(((7.37546395830176 58.00751955148006,7.365929035418526 58.05203185172856,7.449904056102213 58.05706673440513,7.459336543630983 58.01254577928637,7.37546395830176 58.00751955148006)))"
20550006455000,5849,2923,2926,40.7,"MULTIPOLYGON(((7.459336543630983 58.01254577928637,7.449904056102213 58.05706673440513,7.533907154537768 58.06204650546402,7.543237091522114 58.017516987818,7.459336543630983 58.01254577928637)))"
20600006455000,456,247,209,40.2,"MULTIPOLYGON(((7.543237091522114 58.017516987818,7.533907154537768 58.06204650546402,7.61793803446094 58.06697112690305,7.62716530687252 58.022433139216076,7.543237091522114 58.017516987818)))"
20650006455000,302,166,136,45.4,"MULTIPOLYGON(((7.62716530687252 58.022433139216076,7.61793803446094 58.06697112690305,7.701996398975612 58.071840561118115,7.711120893951993 58.02729419601835,7.62716530687252 58.022433139216076)))"
20700006455000,551,290,261,42.2,"MULTIPOLYGON(((7.711120893951993 58.02729419601835,7.701996398975612 58.071840561118115,7.786081950559869 58.076654770904334,7.795103556408816 58.03210012116034,7.711120893951993 58.02729419601835)))"
20750006455000,1891,952,939,39.2,"MULTIPOLYGON(((7.795103556408816 58.03210012116034,7.786081950559869 58.076654770904334,7.870194391072143 58.081413719456954,7.879112997275838 58.03685087797637,7.795103556408816 58.03210012116034)))"
20800006455000,165,84,81,43.3,"MULTIPOLYGON(((7.879112997275838 58.03685087797637,7.870194391072143 58.081413719456954,7.954333421757378 58.08611737037251,7.963148918976623 58.041546430200476,7.879112997275838 58.03685087797637)))"
20850006455000,3673,1819,1854,37.3,"MULTIPOLYGON(((7.963148918976623 58.041546430200476,7.954333421757378 58.08611737037251,8.038498743253243 58.090765687649686,8.047211023331595 58.046186741967475,7.963148918976623 58.041546430200476)))"
20200006460000,2,1,1,0,"MULTIPOLYGON(((6.862685053765284 58.02066738972421,6.852507868725104 58.065124390143446,6.936410249234622 58.07049835076452,6.946485422533664 58.02603212189646,6.862685053765284 58.02066738972421)))"
20250006460000,137,67,70,36.1,"MULTIPOLYGON(((6.946485422533664 58.02603212189646,6.936410249234622 58.07049835076452,7.020342594215487 58.075817344418766,7.030315633032766 58.03134197876644,6.946485422533664 58.02603212189646)))"
20300006460000,86,49,37,44.7,"MULTIPOLYGON(((7.030315633032766 58.03134197876644,7.020342594215487 58.075817344418766,7.104304610180011 58.08108133058491,7.114175392915725 58.03659691996527,7.030315633032766 58.03134197876644)))"
